Node,Freq_1,Freq_2,Freq_All,r,c
1138,20,0,20,23,38
1784,20,0,20,36,34
1250,16,0,16,25,0
1251,16,0,16,25,1
1252,16,0,16,25,2
1302,16,0,16,26,2
1734,16,0,16,35,34
1735,16,0,16,35,35
1137,14,0,14,23,37
1101,13,0,13,22,1
1200,13,0,13,24,0
1300,13,0,13,26,0
1676,13,0,13,34,26
1303,12,0,12,26,3
1353,12,0,12,27,3
1354,12,0,12,27,4
1675,12,0,12,34,25
1444,11,10,21,29,44
1201,11,0,11,24,1
1690,9,5,14,34,40
706,9,0,9,14,6
1008,9,0,9,20,8
1151,9,0,9,23,1
1486,9,0,9,30,36
1785,9,0,9,36,35
1816,9,0,9,36,16
1152,8,0,8,23,2
1487,8,0,8,30,37
1298,7,20,27,26,48
1592,7,5,12,32,42
1968,7,0,7,39,18
2176,7,0,7,44,26
1062,6,0,6,21,12
1540,6,0,6,31,40
1725,6,0,6,35,25
1448,5,20,25,29,48
805,5,0,5,16,5
1453,5,0,5,29,3
756,4,0,4,15,6
803,4,0,4,16,3
854,4,0,4,17,4
1087,4,0,4,22,37
1202,4,0,4,24,2
1351,4,0,4,27,1
1514,4,0,4,30,14
1688,4,0,4,34,38
2175,4,0,4,44,25
2232,3,5,8,45,32
560,3,0,3,11,10
1072,3,0,3,21,22
1130,3,0,3,23,30
1290,3,0,3,26,40
1815,3,0,3,36,15
2481,2,20,22,50,31
1985,2,5,7,40,35
417,2,0,2,8,17
775,2,0,2,16,25
852,2,0,2,17,2
853,2,0,2,17,3
1208,2,0,2,24,8
1538,2,0,2,31,38
1570,2,0,2,31,20
1726,2,0,2,35,26
1730,2,0,2,35,30
1782,2,0,2,36,32
2013,2,0,2,40,13
1347,1,20,21,27,47
1445,1,15,16,29,45
1692,1,15,16,34,42
1693,1,15,16,34,43
1593,1,10,11,32,43
1741,1,10,11,35,41
1493,1,5,6,30,43
1542,1,5,6,31,42
1936,1,5,6,39,36
750,1,0,1,15,0
903,1,0,1,18,3
904,1,0,1,18,4
951,1,0,1,19,1
952,1,0,1,19,2
1037,1,0,1,21,37
1084,1,0,1,22,34
1088,1,0,1,22,38
1139,1,0,1,23,39
1142,1,0,1,23,42
1187,1,0,1,24,37
1257,1,0,1,25,7
1390,1,0,1,28,40
1437,1,0,1,29,37
1482,1,0,1,30,32
1488,1,0,1,30,38
1587,1,0,1,32,37
1638,1,0,1,33,38
1682,1,0,1,34,32
1687,1,0,1,34,37
1728,1,0,1,35,28
2027,1,0,1,41,27
2072,1,0,1,41,22
2076,1,0,1,42,26
1299,0,20,20,26,49
1348,0,20,20,27,48
1397,0,20,20,28,47
1398,0,20,20,28,48
1447,0,20,20,29,47
1496,0,20,20,30,46
1446,0,15,15,29,46
1545,0,15,15,31,45
1643,0,15,15,33,43
1644,0,15,15,33,44
1743,0,15,15,35,43
1791,0,15,15,36,41
2431,0,15,15,49,31
1494,0,10,10,30,44
2478,0,10,10,50,28
1145,0,5,5,23,45
1194,0,5,5,24,44
1443,0,5,5,29,43
1492,0,5,5,30,42
1541,0,5,5,31,41
1591,0,5,5,32,41
1640,0,5,5,33,40
1641,0,5,5,33,41
1642,0,5,5,33,42
1691,0,5,5,34,41
1739,0,5,5,35,39
1740,0,5,5,35,40
1789,0,5,5,36,39
1837,0,5,5,37,37
1838,0,5,5,37,38
2036,0,5,5,41,36
2084,0,5,5,42,34
2281,0,5,5,46,31